Date,Timestamp,IMU_0_Acc_x_axis(g),IMU_0_Acc_y_axis(g),IMU_0_Acc_z_axis(g),IMU_0_AngularVel_x_axis(deg/sec),IMU_0_AngularVel_y_axis(deg/sec),IMU_0_AngularVel_z_axis(deg/sec),IMU_1_Acc_x_axis(g),IMU_1_Acc_y_axis(g),IMU_1_Acc_z_axis(g),IMU_1_AngularVel_x_axis(deg/sec),IMU_1_AngularVel_y_axis(deg/sec),IMU_1_AngularVel_z_axis(deg/sec),||Marker_0_Pos_x,Marker_0_Pos_y,Marker_0_Pos_z,Marker_1_Pos_x,Marker_1_Pos_y,Marker_1_Pos_z,Marker_2_Pos_x,Marker_2_Pos_y,Marker_2_Pos_z,Marker_3_Pos_x,Marker_3_Pos_y,Marker_3_Pos_z,Total Entry Count,838
2.02101E+13,35.0099,02_00_53_608,-0.098,-0.124,9.662,02_00_53_609,0.14,0.77,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_618,-0.098,-0.124,9.662,02_00_53_619,0.14,0.7,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_628,-0.065,-0.124,9.748,02_00_53_629,0.14,0.84,-0.14,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_638,-0.065,-0.124,9.748,02_00_53_639,0.14,0.77,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_648,-0.022,-0.175,9.712,02_00_53_649,0.07,0.77,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_658,-0.022,-0.175,9.712,02_00_53_659,0.07,0.77,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_668,-0.11,-0.103,9.636,02_00_53_669,0.07,0.77,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_678,-0.11,-0.103,9.636,02_00_53_679,0.07,0.77,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_688,-0.029,-0.055,9.679,02_00_53_689,0.07,0.77,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_698,-0.029,-0.055,9.679,02_00_53_699,0.07,0.77,-0.14,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_708,-0.112,-0.026,9.665,02_00_53_709,0.07,0.77,-0.14,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_718,-0.112,-0.026,9.665,02_00_53_719,-0.07,-0.77,0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_728,-0.045,-0.067,9.696,02_00_53_729,0.07,0.77,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_738,-0.045,-0.067,9.696,02_00_53_739,0.07,-0.77,0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_748,-0.062,-0.127,9.722,02_00_53_749,0.07,0.77,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_758,-0.062,-0.127,9.722,02_00_53_759,0.07,0.77,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_768,-0.148,-0.112,9.705,02_00_53_769,0.07,0.77,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_778,-0.148,-0.112,9.705,02_00_53_779,0.07,0.84,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_788,-0.033,-0.084,9.681,02_00_53_789,0.07,0.77,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_798,-0.033,-0.084,9.681,02_00_53_799,0.07,0.77,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_808,-0.098,-0.077,9.739,02_00_53_809,0.07,0.77,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_818,-0.031,-0.084,9.708,02_00_53_819,0.07,0.77,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_827,-0.031,-0.084,9.708,02_00_53_828,0.14,0.77,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_837,-0.069,-0.072,9.708,02_00_53_838,0.07,0.77,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_847,-0.069,-0.072,9.708,02_00_53_848,0.14,0.7,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_857,-0.057,-0.105,9.715,02_00_53_858,0.07,0.77,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_867,-0.057,-0.105,9.715,02_00_53_868,0.07,0.84,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_877,-0.115,-0.072,9.698,02_00_53_878,0.07,0.84,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_887,-0.115,-0.072,9.698,02_00_53_888,0.07,0.77,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_897,-0.019,-0.096,9.662,02_00_53_898,0.07,0.77,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_907,-0.019,-0.096,9.662,02_00_53_908,-0.07,0.77,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_917,-0.057,-0.112,9.701,02_00_53_918,-0.07,0.77,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_927,-0.057,-0.112,9.701,02_00_53_928,0.07,0.77,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_937,-0.033,-0.11,9.653,02_00_53_938,0.07,0.77,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_947,-0.033,-0.11,9.653,02_00_53_948,0.07,0.84,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_957,-0.041,-0.117,9.667,02_00_53_958,0.07,0.77,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_967,-0.041,-0.117,9.667,02_00_53_968,0.14,0.77,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_977,-0.105,-0.081,9.641,02_00_53_978,0.14,0.77,-0.14,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_987,-0.105,-0.081,9.641,02_00_53_988,0.14,0.7,-0.14,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_53_997,0.002,-0.1,9.657,02_00_53_998,0.07,0.84,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_54_007,0.002,-0.1,9.657,02_00_54_008,0.07,0.84,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_54_017,-0.065,-0.045,9.653,02_00_54_018,0.07,0.84,-0.07,,,,,,,,,,,,,,,,,,
2.02101E+13,35.0109,02_00_54_027,-0.065,-0.045,9.653,02_00_54_028,0.07,0.77,-0.07,,,,,,,,,,,,,,,,,,
